minute_index,2018,2019,2020,2021,2022,2023,2024,2025+
162,2.140721637786669,1.2193634922574859,2.7135277931233936,1.6174686615444411,3.1715592161818407,2.2849692451998305,2.1221410044802713,1.7810159886666455
163,2.233591538253199,1.1479079377840762,2.573207760796503,1.7688679245286831,3.7089461147010727,2.159364807797215,1.5941074127356902,1.9619544475424355
164,1.829751593599438,1.3536120258605955,2.4659898894419108,1.8216832353090684,3.5442487804571154,1.865565108812306,1.592257904423633,1.6653482659556573
165,2.44164263769997,1.591258685620378,3.1252170289586267,1.861314406044201,3.8855149126182376,2.502601567304641,1.8463810930569036,1.959329909171359
166,2.3005058393910094,1.4676385695411298,2.711181687904407,1.774341657039269,3.3526184768439826,2.302949593847581,2.0459660369653854,1.9480749477573944
167,1.8584595531195847,1.4402166085791812,2.524936629685337,1.7552584618085731,3.6819018977385376,2.133396156549505,1.8461254442236896,1.861475219111508
168,2.240223812611797,1.5601435332057711,2.8343064452140965,1.9681779982705372,3.2367221281104364,2.2123304689647405,1.5868338131608262,1.7518131824345584
169,2.0027077454920494,1.5675831938799512,2.537611020481112,1.78550137117095,3.399811435965683,2.100101867799631,1.8827959519907012,1.7342143142062838
170,1.9424450426935858,1.6325642141923336,3.092504542114849,1.938360147315521,4.111111240633902,2.2213768127432587,1.71274773672625,2.159755449229195
171,1.9074650956840689,1.360692320253598,2.686246418337479,2.116402116402183,3.5730282816259784,2.279467993185902,1.634521085321916,1.9839216092198964
172,2.0830873292149166,1.327915438343874,2.551583595142848,1.6212232866619214,3.554727484147424,2.3725321059198112,1.8343238682216878,1.9958520986795847
173,1.9730056176892052,1.488095238095788,2.403268445085871,1.8609728175489337,3.869027228517452,2.1104962676854466,2.125807300630278,2.1424215956100667
174,2.2474388359583486,1.608061749571732,2.4829100697754125,1.7281718600448137,3.1361694520365413,2.1798146317125733,1.7831037079707457,1.6782680273963457
175,2.381437350240656,1.6142050040357514,2.518257365903276,1.9609488642702289,3.387538275956836,2.4020462269935816,1.8167886596898164,2.0182449342054376
176,1.8740380599752138,1.5240804714489187,2.6373881015673284,1.776251517214833,3.312074727985781,2.3802664997352174,1.9268836889962948,1.981517842667424
177,2.4081538963827143,1.3089619566630795,2.284252364201933,1.5861954769047504,3.8694372928510523,1.938447189713255,1.6097184282148902,1.7801830028130183
178,1.9361403147027945,1.5541625654047486,2.216123148257587,1.7308592436382497,3.2644742175286234,2.447023975088447,1.5214621251025129,1.6648630650129004
179,1.8414733111388193,1.1513441943478142,2.0670552730572833,1.4805861912670082,2.796035734080604,1.8070492436128571,1.7228837244920303,1.4747524347324958
180,2.265662333684193,1.5522326279304721,2.9753730660075917,2.383449327867382,3.734671205509743,2.270782764917101,2.056782853966377,2.1528010333438097
181,2.364177314641003,1.557713276909567,3.1140018710740236,1.8686765320929943,4.052086894959506,2.1737491100826123,2.3760152064977724,1.657352090962405
182,1.9850845944624496,1.5917652676811223,2.8112177767236624,1.748090805560043,3.3620115301957743,1.9821261153052383,1.9032720636169564,1.7947577467203324
183,2.175890187466889,1.54990700558022,2.2242092488289344,1.467696010802877,3.791831265019807,2.2412607060079415,1.7488709768698207,1.6332130199725459
184,2.118801242067536,1.3113034356138087,2.2224691632377613,1.6351001498837725,3.1622848384332825,1.889525820863991,1.9689975941017401,1.5401861761343838
185,2.084254473477265,1.6017940092905025,2.321155006732578,1.3323399696552052,3.6220640071332744,2.069702416106489,2.0675510793433105,1.8479158249740113
186,2.202176825467639,1.646051827117745,2.5497195308510356,1.7684508370652274,3.8203096780992096,2.458551438618284,1.6092046506033242,1.8528537864814787
187,1.8859688631406302,1.429908485857112,2.110959719050509,1.5928132267217787,3.537939767936926,1.8820152430737425,1.725093956010948,1.8356982112144316
188,1.9302772783752475,1.1733646230560613,2.637501758333549,1.507795301710635,3.2446158914056777,2.075625159982941,1.8494461688611796,2.1926418593598562
189,1.8665292741948392,1.2051298540927124,2.480455719588992,1.632875221118102,2.940773956039422,1.9258431251084618,1.642806852852896,1.8779074880970192
190,2.235771772994277,1.2272534913237987,2.7442371020847123,1.7109727581354761,3.721730429908643,2.0476120584683732,1.9904458598718477,1.9446064949857345
191,2.477910787364035,1.5484998971970754,2.363823061111159,1.5618167051911769,3.2816490479115057,2.3023573824998422,1.672307273642426,1.9117318792050142
192,2.1061636336755507,1.103691849235755,2.0726820505734267,1.7508754377182356,3.295826877593999,1.8026917258157082,1.8007878446812953,1.4294242783519095
193,1.8583300710317552,1.153070049006999,2.342155452202954,1.392345818216345,2.8834177414704953,2.120904762628606,1.7870758673277365,1.7553938465475483
194,2.214531234516759,1.238543472875664,2.281021897809765,1.3976240391344597,3.344192951417746,1.9466487618141626,1.4605545090251582,1.687329046926589
195,2.352843021012352,1.2332889349320197,3.222391014132686,1.6772895001659904,3.5030398841262578,2.0982257671614546,1.7108467685122974,2.2485625260992848
196,2.3033050210757855,1.5187566445606926,2.205395868558613,1.5754037136384014,3.4890964995032414,2.076804967570123,1.6205157291315775,1.971031926653044
